playerName,yearsOfData,AVGSGAPP,AVGSGPutting,AVGSGOffTee,AVGSGAGR,Scrambling%,BirdieOrBetter%,GreensInRegulation%,ScoringAverage,AvgDrivingDistance,Par3ScoringAvg,Prox175to200,recentFormScore
Max Homa,5,-0.06213999999999998,0.09409,-0.04148,-0.014989999999999988,0.603664,0.222761,0.656932,71.21484,302.043,3.0411,33.32026343180697,-0.039
Ryan Gerard,3,0.6307027027027028,-0.22063513513513514,0.15091891891891893,0.4835135135135135,0.5886932432432432,0.22302567567567566,0.6684324324324324,70.5748108108108,302.26756756756754,3.0381081081081076,34.469042255032186,0.94
Scottie Scheffler,5,2.20122,0.27494,0.7531,1.0768999999999997,0.6682319999999999,0.276267,0.720755,68.55963,307.862,2.9858000000000002,30.676951326951837,1.868
Brooks Koepka,2,0.8198421052631577,-0.36247368421052634,0.13184210526315787,0.7073157894736841,0.5739263157894737,0.23020526315789475,0.6790473684210526,70.8147894736842,310.63684210526316,3.096315789473684,32.35571359825671,0.546
Jacob Bridgeman,3,0.037540229885057466,0.601528735632184,-0.07122988505747126,0.04382758620689655,0.6256574712643678,0.24177471264367817,0.6672942528735633,70.43054022988505,302.39885057471264,3.025057471264368,33.98043860748067,1.933
Sungjae Im,4,0.24070588235294121,0.1282705882352941,0.3526470588235294,-0.5402941176470588,0.6190094117647059,0.23185882352941178,0.6404976470588235,70.52431764705884,297.96588235294115,3.0643529411764705,34.68586133949562,
Min Woo Lee,3,0.31868965517241377,0.1435057471264368,0.2960344827586207,-0.2551264367816092,0.5928574712643679,0.2304816091954023,0.6487011494252874,70.69635632183909,314.432183908046,3.0677011494252873,34.091174028993215,1.693
Hideki Matsuyama,5,0.97188,-0.014140000000000002,-0.020210000000000002,0.52978,0.668438,0.22923000000000002,0.663333,70.18184,299.90399999999994,3.0017,30.018078562858978,1.197
Keegan Bradley,5,0.6989000000000001,-0.044009999999999994,0.25660999999999995,0.17368,0.603025,0.22373500000000002,0.6574380000000001,70.54247,306.05400000000003,3.0608,32.217143439731124,-0.216
Akshay Bhatia,4,0.4934375,0.2900520833333333,0.08517708333333335,0.5206666666666667,0.5914864583333334,0.24484999999999998,0.6774020833333334,70.47947916666668,299.9239583333333,3.0078125000000004,31.15363566093027,1.646
Daniel Berger,3,0.6607701149425287,-0.20670114942528733,0.35683908045977014,0.46357471264367817,0.5960666666666666,0.2199183908045977,0.6956264367816093,70.58651724137931,302.20344827586206,3.083908045977011,32.59261720066354,0.456
Tommy Fleetwood,5,1.1248099999999999,0.23072000000000004,0.28869,0.49495000000000006,0.648619,0.22780899999999998,0.66328,69.76272999999999,299.95,3.0354,34.76791769116679,1.343
Aldrich Potgieter,2,0.03246153846153846,-0.052692307692307684,0.5978461538461538,-0.17553846153846153,0.5381846153846154,0.2216461538461538,0.6498384615384615,71.40161538461538,324.95384615384614,3.0784615384615384,35.59671003738529,-0.69
Sam Burns,5,0.15719,0.7690500000000001,0.19827,-0.009580000000000002,0.606537,0.24452500000000005,0.658605,70.27434999999998,308.82800000000003,3.0284999999999997,34.09807333264767,0.532
Haotong Li,1,0.545,-0.247,0.45000000000000007,0.293,0.6429,0.22440000000000002,0.7009000000000001,71.044,305.3,3.04,31.887755102040813,0.298
Ryan Fox,3,0.21611494252873562,0.2042758620689655,0.07103448275862069,0.1618505747126437,0.5689908045977011,0.2257471264367816,0.6464827586206896,70.50234482758621,309.92873563218393,3.0351724137931035,34.342734046843695,0.677
Justin Rose,5,-0.008230000000000008,0.1627,-0.18594999999999998,0.20831,0.5805330000000001,0.232204,0.652288,70.69859,300.563,3.0332,33.39769123614998,0.552
Jon Rahm,2,1.3266923076923076,0.3455384615384615,0.5646153846153845,0.7195384615384615,0.6030923076923077,0.2541615384615384,0.708353846153846,69.25792307692308,315.5076923076923,2.9776923076923074,30.147871313195296,
Gary Woodland,5,0.24492000000000003,0.07936000000000001,0.29745000000000005,0.31572000000000006,0.573592,0.21533400000000003,0.6706960000000001,70.70763,314.71000000000004,3.077,33.3607493151541,0.682
Sami Valimaki,3,-0.13722988505747127,0.3735632183908046,-0.22121839080459768,0.27227586206896554,0.6036333333333334,0.23004597701149423,0.6762103448275862,71.01471264367817,296.3034482758621,3.0047126436781606,31.799363571609778,-0.335
Jake Knapp,3,0.15520689655172412,0.4628850574712643,0.17666666666666667,0.06094252873563219,0.6181954022988506,0.2464287356321839,0.6684793103448275,70.58994252873563,313.4310344827586,3.061149425287356,34.37455369328585,2.002
Nicolai Højgaard,3,0.5015172413793104,0.13491954022988506,0.16926436781609197,0.558367816091954,0.5746770114942529,0.23345172413793105,0.6852666666666667,70.37856321839081,316.1229885057472,2.997471264367816,31.602894723340928,1.568
Xander Schauffele,5,0.95787,0.1463,0.26272,0.6446999999999999,0.6290779999999999,0.233936,0.6787170000000001,69.78525,310.074,3.035,31.974564692426434,1.443
Collin Morikawa,5,1.26931,-0.16061,0.47730999999999996,0.7318799999999999,0.610955,0.24031399999999997,0.6892330000000001,70.02476000000001,298.975,2.9954,30.468676941346263,1.53
Ludvig Åberg,4,0.7656041666666668,0.12315625000000001,0.5576770833333333,0.18019791666666665,0.6112364583333333,0.24851770833333336,0.6777520833333334,70.19888541666667,312.76666666666665,3.0313541666666666,31.829259154836755,1.54
Jason Day,5,0.21728000000000003,0.31062,0.12985,-0.19204000000000002,0.626373,0.22674599999999998,0.6602640000000001,70.57532,300.678,3.0603000000000002,35.57858811343833,0.74
Matt McCarty,2,-0.029153846153846145,0.3786923076923077,0.06346153846153846,-0.06538461538461537,0.6229923076923076,0.23607692307692307,0.6612846153846154,70.73946153846153,298.4153846153846,3.0084615384615385,30.924226599181903,-0.231
Kurt Kitayama,5,0.9467099999999999,-0.2779,0.39257000000000003,0.46907,0.611645,0.233452,0.6811539999999999,70.34992,313.284,3.0364999999999998,30.76588335625808,0.474
Davis Riley,5,-0.8083500000000001,0.19879,-0.49600000000000005,-0.37574,0.575279,0.22305299999999997,0.6352050000000001,71.63062,304.592,3.1293000000000006,36.27138374969401,-1.599
Kristoffer Reitan,1,-0.22500000000000003,-0.213,0.456,-0.532,0.5868,0.2051,0.6431999999999999,71.647,310.3,3.12,35.10566071428571,-0.438
Aaron Rai,5,0.8166999999999999,-0.14848999999999998,0.28567000000000004,0.44742,0.596468,0.21545599999999998,0.705259,70.41629,290.57599999999996,3.1080999999999994,34.358254405956586,-0.448
Michael Kim,4,0.28670833333333334,0.07525,-0.09040625,0.266125,0.617040625,0.217415625,0.6603447916666666,70.6635625,300.89895833333327,3.0718750000000004,33.95718131653705,-0.04
Jordan Spieth,5,0.60417,0.10669,0.28995000000000004,0.16413,0.599299,0.22473200000000004,0.650403,70.37218,306.483,3.0929,35.92445683933341,0.704
Max Greyserman,3,-0.12560919540229887,0.378080459770115,-0.11339080459770116,-0.061022988505747125,0.5946862068965517,0.2425,0.6581873563218391,70.82162068965518,308.8103448275862,3.0308045977011493,37.096046614247825,-0.795
Cameron Smith,1,0.869,0.563,-0.125,0.771,0.5993999999999999,0.2652,0.6801,69.203,299.7,3.04,31.708695652173912,
Adam Scott,5,0.6173500000000001,0.08617000000000001,0.33608,0.24191,0.591329,0.22611199999999998,0.667391,70.46101,307.508,3.0426,34.450629314836924,1.095
Matt Fitzpatrick,5,0.49849,0.30654000000000003,0.1862,0.16259,0.6267619999999999,0.224902,0.6687679999999999,70.34086,302.431,3.0164999999999997,34.96702248265358,1.584
Sam Stevens,4,0.3545520833333334,0.03735416666666668,0.37917708333333333,-0.15138541666666666,0.6192916666666666,0.21956979166666665,0.679778125,70.60254166666665,306.52083333333337,3.041354166666667,33.555428899390954,0.649
Brian Campbell,2,-1.137,0.15623076923076923,-0.9584615384615385,-0.19530769230769232,0.579176923076923,0.1999692307692308,0.6023923076923077,71.839,278.23846153846154,3.1023076923076918,33.664112368024135,-2.001
Cameron Young,5,0.47903,0.29627999999999993,0.4347,0.04877,0.602862,0.242751,0.660128,70.49393,311.943,3.0601000000000003,32.075996983201556,1.574
Nico Echavarria,4,-0.31267708333333327,0.3437083333333334,-0.06588541666666667,0.021468750000000012,0.5834833333333334,0.23404479166666667,0.6788093749999999,70.94994791666666,295.06666666666666,3.000104166666667,32.06989435426784,-0.509
Chris Gotterup,3,0.5457816091954023,-0.014724137931034486,0.48909195402298844,-0.03825287356321839,0.6237758620689655,0.2318494252873563,0.6937885057471265,70.3856091954023,317.12528735632185,3.026666666666667,33.620215208256084,1.335
Patrick Reed,1,-0.54,0.24099999999999996,-0.503,-0.317,0.6098,0.2016,0.6278,,290.6,3.07,32.974137931034484,
Sepp Straka,5,0.60697,0.15138,0.19503,0.52629,0.594279,0.232483,0.686832,70.51495999999999,298.099,3.0011,31.42233449916019,0.906
Justin Thomas,4,0.8908,0.06351764705882355,0.12710588235294118,0.42764705882352944,0.6018164705882353,0.24693176470588238,0.655534117647059,70.19296470588236,307.04588235294125,3.0409411764705885,33.2390352676733,
Zach Johnson,4,-0.3405058823529412,0.39121176470588237,-0.2796588235294118,-0.06632941176470587,0.5960788235294118,0.20769529411764703,0.6788411764705882,71.0340705882353,285.7588235294118,3.037058823529412,35.239369920653445,
Harry Hall,4,0.21638541666666664,0.6593229166666668,-0.1527916666666667,-0.022833333333333327,0.6448812500000001,0.254025,0.656478125,70.13630208333333,302.62187500000005,2.9918750000000003,36.72176405720883,0.6
Nick Taylor,5,0.43986,0.056470000000000006,-0.07585999999999998,0.36206,0.6286680000000001,0.212855,0.673133,70.66981,294.76599999999996,3.0333,33.35253637983578,0.552
Alex Noren,4,0.4538800000000001,0.36998000000000003,-0.06714000000000002,0.13326,0.6560760000000002,0.22312200000000004,0.664784,70.51326000000002,295.07000000000005,3.0302000000000002,35.02109947007365,0.774
Rory McIlroy,5,1.27471,0.34891999999999995,0.72842,0.33782999999999996,0.6409790000000001,0.247159,0.678741,69.34866,321.488,3.0148,33.20631043159309,1.785
Viktor Hovland,5,0.7776599999999999,0.06218,0.2016,0.7386499999999999,0.5860920000000001,0.238002,0.669162,70.34744,303.46200000000005,3.038,29.702632809225424,0.536
Wyndham Clark,5,0.32098000000000004,0.11458999999999998,0.13197,-0.01995999999999999,0.586364,0.23989999999999997,0.658579,70.7962,312.55499999999995,3.0408,33.19112868399588,-0.212
Patrick Cantlay,5,0.85675,0.16226000000000002,0.35340999999999995,0.3744599999999999,0.623458,0.236619,0.6843779999999999,70.32885,304.41299999999995,3.0595000000000003,32.844685350206156,0.772
Si Woo Kim,5,1.1322999999999999,-0.33384,0.37195999999999996,0.49239,0.632471,0.23432799999999998,0.6676320000000001,70.32983,297.111,3.0265000000000004,29.45822741947249,1.236
Marco Penge,1,0.129,-0.121,0.753,-0.378,0.5616,0.2222,0.662,71.551,319.6,3.07,31.050847457627118,0.008
Robert MacIntyre,3,0.5633103448275862,0.37525287356321846,0.3167931034482759,0.12382758620689656,0.6386666666666667,0.23229310344827586,0.675964367816092,70.02531034482759,303.29080459770114,3.021609195402299,34.2019199023442,1.397
Rasmus Højgaard,2,0.10223076923076924,0.09923076923076923,0.18046153846153842,0.0014615384615384607,0.5451615384615384,0.23543076923076922,0.6723461538461538,70.723,315.9846153846154,3.068461538461538,34.677455963154486,0.823
Carlos Ortiz,1,-0.561,-0.061,-0.069,-0.141,0.5572,0.21679999999999996,0.6339,71.632,303.4,3.05,33.06944736842105,
