playerName,yearsOfData,AVGSGAPP,AVGSGPutting,AVGSGOffTee,AVGSGAGR,Scrambling%,BirdieOrBetter%,GreensInRegulation%,ScoringAverage,AvgDrivingDistance,Par3ScoringAvg,Prox175to200,recentFormScore
Jordan Spieth,5,0.57042,0.15559,0.25725,0.14432999999999999,0.5961339999999999,0.227012,0.651108,70.35133,306.49800000000005,3.0959,36.09158559873191,0.806
Kevin Roy,3,0.297945945945946,0.15839189189189187,0.19664864864864862,0.04602702702702702,0.6140135135135134,0.22946621621621624,0.684454054054054,70.71741891891892,305.31216216216217,3.040675675675675,33.67941758686393,0.685
Seamus Power,5,0.13342999999999997,0.010619999999999992,0.00564,0.042269999999999995,0.615358,0.22225999999999996,0.682825,70.86631999999999,299.576,3.0104999999999995,34.35005519966364,0.144
Rasmus Højgaard,2,0.19199999999999998,0.0756923076923077,0.19938461538461535,0.035384615384615375,0.542876923076923,0.24027692307692305,0.6756461538461538,70.77815384615384,316.07692307692304,3.063846153846154,34.86653159340659,1.11
Zach Bauchou,1,0.057999999999999996,0.017,-0.308,0.243,0.6474,0.2222,0.6905,70.988,302.0,3.04,32.37162162162162,0.075
Nick Taylor,5,0.43715999999999994,0.06892,-0.06161,0.34271,0.6309330000000001,0.212885,0.6757280000000001,70.65091,295.006,3.0288,33.407947876900366,0.616
Andrew Putnam,5,0.11378999999999999,0.22915,-0.5651099999999999,0.28765999999999997,0.6369360000000001,0.21414,0.6928070000000001,70.84985999999999,281.251,3.0280999999999993,33.902040205416554,-0.343
Adam Hadwin,4,-0.34396470588235295,0.08904705882352942,-0.09151764705882352,-0.24623529411764708,0.5657141176470587,0.2211305882352941,0.6606905882352943,71.29371764705883,298.67411764705884,3.031176470588235,33.445040466671244,
Christiaan Bezuidenhout,5,0.0016000000000000033,0.46010999999999996,-0.34420999999999996,0.07898,0.641091,0.207988,0.658002,70.69934,290.07399999999996,3.0654,34.4686299695974,0.549
Brandt Snedeker,3,-0.5871315789473684,0.38015789473684214,-0.38239473684210523,-0.22378947368421054,0.6111947368421053,0.2087763157894737,0.6583815789473684,71.43976315789475,283.4263157894737,3.0594736842105257,35.90518158753714,
Mark Hubbard,5,-0.00459999999999996,0.053,-0.07969999999999998,0.10822,0.596715,0.22277699999999998,0.6731910000000001,70.89564,297.24,3.045,33.067871668609335,-1.278
Danny Willett,2,-0.1473846153846154,0.059307692307692304,-0.09684615384615383,-0.28838461538461535,0.6184230769230769,0.18436153846153844,0.6221461538461538,71.27323076923075,293.66923076923075,3.0969230769230767,37.203718831891656,
David Skinns,3,-0.04342105263157895,-0.1582894736842105,-0.24900000000000003,0.2648684210526316,0.5742526315789475,0.21873421052631578,0.6875684210526316,71.41050000000001,306.36578947368423,3.038684210526316,32.98219205543097,
Tony Finau,5,0.40265,-0.11274999999999999,-0.005239999999999988,0.18573,0.5836110000000001,0.223879,0.664322,70.98302999999999,305.26599999999996,3.0457,32.62010828662861,-0.198
Sam Ryder,5,-0.21162,0.48258999999999996,-0.28181000000000006,0.26449999999999996,0.5987100000000001,0.234302,0.6630969999999999,71.07956,298.103,3.0166000000000004,31.734403956557024,0.842
Matt Fitzpatrick,5,0.46474000000000004,0.30009,0.17855000000000001,0.14414,0.6218569999999999,0.226387,0.668723,70.39366000000001,302.37100000000004,3.021,35.1396921463461,1.316
Neal Shipley,1,-0.672,-1.312,0.47800000000000004,-0.514,0.45649999999999996,0.20370000000000002,0.6593000000000001,73.129,305.2,3.13,32.06945833333334,-1.984
Paul Peterson,1,-0.426,0.295,-0.568,0.011,0.5957,0.2257,0.6736,71.129,281.7,3.04,34.93262411347518,
Michael Kim,4,0.20436458333333332,0.04071875,-0.11540625,0.253,0.6103999999999999,0.21638437500000002,0.6631885416666666,70.76434375,300.8364583333333,3.0765625,33.88200255993826,-0.788
Matt Kuchar,4,0.08108235294117647,0.34944705882352944,-0.2236588235294118,0.02761176470588236,0.6570917647058824,0.21581529411764705,0.6641658823529412,70.62245882352941,285.3388235294118,3.0447058823529414,36.99323537467997,
John Parry,1,0.149,-0.036,0.088,0.144,0.5636,0.22920000000000001,0.7454000000000001,70.846,300.1,2.97,36.70834090909091,0.113
Nicolai Højgaard,3,0.4846206896551724,0.1454367816091954,0.16495402298850576,0.5378505747126436,0.5790908045977011,0.2314,0.6861632183908046,70.43649425287356,315.6402298850575,2.994022988505747,31.570958622152617,1.53
Jesper Svensson,2,0.5356923076923077,-0.11346153846153845,0.46507692307692305,-0.018538461538461535,0.5899615384615384,0.24468461538461536,0.6899923076923077,70.82123076923077,319.0153846153846,3.083076923076923,39.0222875810936,0.293
Brice Garnett,5,-0.17363,0.047580000000000004,-0.16615000000000002,-0.14907,0.626649,0.20863199999999998,0.697617,71.32068,290.67999999999995,3.0381,34.631571058840926,-0.36
Ricky Castillo,2,0.4753076923076922,-0.05776923076923077,0.3293076923076923,0.035307692307692304,0.6327461538461538,0.23612307692307694,0.6917538461538462,70.64523076923076,310.60769230769233,3.1,36.21405654269212,0.346
Taylor Moore,5,0.17585,0.057830000000000006,0.21165,-0.26768,0.612144,0.22111999999999998,0.6654239999999999,70.98142999999999,308.25500000000005,3.0322999999999998,34.67220939401265,0.551
Karl Vilips,2,-0.6555384615384615,-0.1389230769230769,-0.3673076923076923,-0.1486153846153846,0.5642538461538461,0.22753076923076923,0.6648461538461538,71.46769230769229,308.4076923076923,3.05,31.40073859945722,-0.756
Dan Brown,1,0.16,0.349,0.103,0.189,0.6354,0.23199999999999998,0.6862999999999999,70.949,298.2,3.03,37.067567567567565,0.509
Doug Ghim,5,0.77856,-0.4533400000000001,0.31769,0.34471,0.6018789999999999,0.22386599999999998,0.7093720000000001,70.83308,300.586,3.0361,31.667876295689275,0.231
