playerName,yearsOfData,AVGSGAPP,AVGSGPutting,AVGSGOffTee,AVGSGAGR,Scrambling%,BirdieOrBetter%,GreensInRegulation%,ScoringAverage,AvgDrivingDistance,Par3ScoringAvg,Prox175to200,recentFormScore
Cameron Young,5,0.50873,0.28457999999999994,0.42645,0.041269999999999994,0.609252,0.242466,0.657698,70.44608000000001,312.54299999999995,3.0556000000000005,32.3307868903223,1.693
Justin Rose,5,-0.07108,0.14740000000000003,-0.16704999999999998,0.15760999999999997,0.577578,0.229534,0.650038,70.71388999999999,300.71299999999997,3.0361999999999996,33.73496496925809,0.03
J.J. Spaun,5,0.84706,-0.03738,0.21786,0.5991799999999999,0.6036219999999999,0.22833499999999998,0.6952750000000001,70.30462,303.285,3.0180999999999996,31.79524085118387,0.534
Taylor Pendrith,5,0.4740400000000001,0.04761999999999999,0.40481999999999996,0.10388,0.586763,0.22566399999999998,0.6849919999999999,70.60351999999999,311.912,3.06,33.295987516596995,-0.305
Max Homa,5,-0.12828999999999996,0.12378999999999998,-0.033229999999999996,-0.09659000000000001,0.612499,0.22028599999999998,0.652972,71.20899,302.50800000000004,3.0441000000000003,33.311656979225944,-0.281
Nicolai Højgaard,3,0.5054827586206897,0.09233333333333332,0.19374712643678163,0.5302643678160919,0.5715908045977011,0.23253793103448275,0.6842494252873563,70.44804597701149,316.5540229885058,3.007816091954023,31.652292126911867,1.344
Collin Morikawa,5,1.25656,-0.20920999999999998,0.45691,0.7164299999999999,0.61283,0.238559,0.6864580000000001,70.07246,298.24,2.9954,30.871281551735873,1.12
Andrew Novak,5,0.31726,0.02068000000000001,0.035980000000000005,0.10464,0.609145,0.218067,0.6466010000000001,70.78916,300.281,3.0412,33.59442717723145,-0.216
Michael Brennan,1,0.138,-0.409,0.678,0.125,0.5531,0.23720000000000002,0.6607,71.229,323.1,3.12,35.486777777777775,-0.272
Sam Burns,5,0.13649,0.7693500000000001,0.19061999999999996,-0.029379999999999993,0.603072,0.24475000000000005,0.6583500000000001,70.26355,308.843,3.03,34.03323933264767,0.397
Ryo Hisatsune,3,0.4324367816091954,-0.11293103448275862,0.15013793103448275,0.18358620689655172,0.5976172413793104,0.21838160919540228,0.6990494252873564,70.91089655172414,298.0034482758621,3.0217241379310344,32.97358277348888,0.689
Sahith Theegala,5,0.09763000000000002,0.030069999999999993,-0.04586,0.04614,0.5894949999999999,0.22780299999999998,0.659791,71.04779,303.372,3.0433999999999997,34.11346163014318,0.523
Andrew Putnam,5,0.09534,0.35605,-0.5633099999999999,0.28076,0.647931,0.213195,0.690002,70.74410999999999,281.341,3.0176,33.897753841780194,0.38
Michael Kim,4,0.2701458333333333,0.10165624999999999,-0.11290625,0.2701875,0.615290625,0.21679062500000001,0.6586572916666666,70.67184375,301.08645833333327,3.0718750000000004,33.72739506039639,0.022
Pierceson Coody,3,0.4014022988505747,0.05080459770114943,0.5480344827586208,-0.015873563218390792,0.6010977011494254,0.24998505747126434,0.7068183908045976,70.70197701149426,312.39885057471264,3.0586206896551724,34.53136776491473,0.347
Corey Conners,5,0.71848,-0.021309999999999996,0.39066,0.45327,0.583025,0.22352,0.691655,70.3998,299.60099999999994,3.0573,32.97199046084355,0.104
